cboid,cbodesc,cbotrans,iscoid,iscodesc,cbo_currno,isco_currno
"1-31.90","Outros professores de disciplinas pedagógicas de ensino superior","Other college education professors of education subjects","2310","College, university and higher education teaching professionals",450,85
"1-32","Professores de ciências físicas e químicas de ensino superior","","","",451,
"1-32.05","Professor de química, em geral (ensino superior)","Chemistry professors (college education)","2310","College, university and higher education teaching professionals",452,85
"1-32.10","Professor de física, em geral (ensino superior)","Physics professors (college education)","2310","College, university and higher education teaching professionals",453,85
"1-32.20","Professor de química orgânica (ensino superior)","Organic chemistry professors (college education)","2310","College, university and higher education teaching professionals",454,85
"1-32.30","Professor de química inorgânica (ensino superior)","Inorganic chemistry professors (college education)","2310","College, university and higher education teaching professionals",455,85
"1-32.90","Outros professores de ciências físicas e químicas de ensino superior","Other chemistry and physics professors (college education)","2310","College, university and higher education teaching professionals",456,85
"1-33","Professores de engenharia e arquitetura","","","",457,
"1-33.20","Professor de resistência dos materiais (engenharia e arquitetura)","Materials resistance professors (engineering and architecture)","2310","College, university and higher education teaching professionals",458,85
"1-33.30","Professor de materiais de construção (engenharia e arquitetura)","Construction materials professors (engineering and architecture)","2310","College, university and higher education teaching professionals",459,85
"1-33.35","Professor de construções metálicas e de concreto (engenharia e arquitetura)","Metal and concrete construction professors (engineering and architecture)","2310","College, university and higher education teaching professionals",460,85
"1-33.40","Professor de análise estrutural (engenharia e arquitetura)","Structural analysis professors (engineering and architecture)","2310","College, university and higher education teaching professionals",461,85
"1-33.45","Professor de desenho técnico (engenharia e arquitetura)","Technical drawing professors (engineering and architecture)","2310","College, university and higher education teaching professionals",462,85
"1-33.50","Professor de mecânica de solos (engenharia e arquitetura)","Ground mechanics professors (engineering and architecture)","2310","College, university and higher education teaching professionals",463,85
"1-33.55","Professor de tecnologia especializada (engenharia e arquitetura)","Specialized technology professors (engineering and architecture)","2310","College, university and higher education teaching professionals",464,85
"1-33.60","Professor de planejamento de arquitetura (engenharia e arquitetura)","Architectural planning professors (engineering and architecture)","2310","College, university and higher education teaching professionals",465,85
"1-33.65","Professor de planejamento urbanístico (engenharia e arquitetura)","Urban planning professors (engineering and architecture)","2310","College, university and higher education teaching professionals",466,85
"1-33.70","Professor de circuitos elétricos e eletrônicos (engenharia)","Electrical and electronics circuits professors (engineering)","2310","College, university and higher education teaching professionals",467,85
"1-33.75","Professor de mineralogia e petrografia (engenharia)","Minerals and petroleum professors (engineering)","2310","College, university and higher education teaching professionals",468,85
"1-33.80","Professor de metalografia, siderurgia e tratamento de minérios (engenharia)","Mineral treatment, siderurgic and metal professors (engineering)","2310","College, university and higher education teaching professionals",469,85
"1-33.90","Outros professores de engenharia e arquitetura","Other engineering and architecture professors","2310","College, university and higher education teaching professionals",470,85
"1-34","Professores de matemática, estatística e ciências afins de ensino superior","","","",471,
"1-34.05","Professor de matemática, em geral (ensino superior)","Mathematics professors, general","2310","College, university and higher education teaching professionals",472,85
"1-34.10","Professor de estatística, em geral (ensino superior)","Statistics professors, general","2310","College, university and higher education teaching professionals",473,85
"1-34.20","Professor de cálculo numérico (ensino superior)","Numerical calculus professors","2310","College, university and higher education teaching professionals",474,85
"1-34.30","Professor de teoria matemática de sistemas (ensino superior)","Mathematical systems theory professors","2310","College, university and higher education teaching professionals",475,85
"1-34.40","Professor de álgebra linear (ensino superior)","Linear algebra professors","2310","College, university and higher education teaching professionals",476,85
"1-34.50","Professor de matemática financeira (ensino superior)","Financial mathematics professors","2310","College, university and higher education teaching professionals",477,85
"1-34.60","Professor de demografia (ensino superior)","Demography professors","2310","College, university and higher education teaching professionals",478,85
"1-34.90","Outros professores de matemática, estatística e ciências afins de ensino superio","Other mathematics, statistics and related science professors","2310","College, university and higher education teaching professionals",479,85
"1-35","Professores de ciências econômicas, administrativas e contábeis de ensino superi","","","",480,
"1-35.10","Professor de economia, em geral (ensino superior)","Economics professors","2310","College, university and higher education teaching professionals",481,85
"1-35.20","Professor de teoria econômica (ensino superior)","Economic theory professors","2310","College, university and higher education teaching professionals",482,85
"1-35.30","Professor de pesquisa econômica (ensino superior)","Economic research professors","2310","College, university and higher education teaching professionals",483,85
"1-35.40","Professor de análise macroeconômica (ensino superior)","Macroeconomic analysis professors","2310","College, university and higher education teaching professionals",484,85
"1-35.50","Professor de análise microeconomia (ensino superior)","Microeconomic analysis professors","2310","College, university and higher education teaching professionals",485,85
"1-35.60","Professor de administração (ensino superior)","Business administration professors","2310","College, university and higher education teaching professionals",486,85
"1-35.70","Professor de contabilidade (ensino superior)","Accounting professors","2310","College, university and higher education teaching professionals",487,85
"1-35.90","Outros professores de ciências econômicas, administrativas e contábeis de ensino","Other economics, business administration and accounting professors","2310","College, university and higher education teaching professionals",488,85
"1-36","Professores de ciências humanas de ensino superior","","","",489,
"1-36.15","Professor de direito constitucional (ensino superior)","Constitutional law professors","2310","College, university and higher education teaching professionals",490,85
"1-36.20","Professor de direito civil (ensino superior)","Civil law professors","2310","College, university and higher education teaching professionals",491,85
"1-36.25","Professor de direito penal (ensino superior)","Criminal law professors","2310","College, university and higher education teaching professionals",492,85
"1-36.30","Professor de direito comercial (ensino superior)","Commercial law professors","2310","College, university and higher education teaching professionals",493,85
"1-36.35","Professor de direito financeiro e tributário (ensino superior)","Financial and accounting law professors","2310","College, university and higher education teaching professionals",494,85
"1-36.40","Professor de direito administrativo (ensino superior)","Administrative law professors","2310","College, university and higher education teaching professionals",495,85
"1-36.45","Professor de antropologia (ensino superior)","Anthropology professors","2310","College, university and higher education teaching professionals",496,85
"1-36.50","Professor de filosofia (ensino superior)","Philosophy professors","2310","College, university and higher education teaching professionals",497,85
"1-36.55","Professor de história (ensino superior)","History professors","2310","College, university and higher education teaching professionals",498,85
"1-36.60","Professor de ciências políticas (ensino superior)","Political science professors","2310","College, university and higher education teaching professionals",499,85
"1-36.65","Professor de sociologia (ensino superior)","Sociology professors","2310","College, university and higher education teaching professionals",500,85
"1-36.70","Professor de geografia (ensino superior)","Geography professors","2310","College, university and higher education teaching professionals",501,85
"1-36.80","Professor de psicologia (ensino superior)","Psychologists professors","2310","College, university and higher education teaching professionals",502,85
"1-36.90","Outros professores de ciências humanas de ensino superior","Other humanity sciences professors","2310","College, university and higher education teaching professionals",503,85
"1-37","Professores de ciências biológicas e médicas de ensino superior","","","",504,
"1-37.20","Professor de biologia geral (ensino superior)","General biology professors","2310","College, university and higher education teaching professionals",505,85
"1-37.30","Professor de anatomia (ensino superior)","Human body professors","2310","College, university and higher education teaching professionals",506,85
"1-37.40","Professor de fisiologia (ensino superior)","Physiology professors","2310","College, university and higher education teaching professionals",507,85
"1-37.50","Professor de clínica médica (ensino superior)","Medical clinics professors","2310","College, university and higher education teaching professionals",508,85
"1-37.60","Professor de clínica cirúrgica (ensino superior)","Surgical clinics professors","2310","College, university and higher education teaching professionals",509,85
"1-37.65","Professor de farmacologia (ensino superior)","Pharmacology professors","2310","College, university and higher education teaching professionals",510,85
"1-37.70","Professor de medicina do trabalho (ensino superior)","Ergonomics professors","2310","College, university and higher education teaching professionals",511,85
"1-37.80","Professor de enfermagem (ensino superior)","Nursing professors","2310","College, university and higher education teaching professionals",512,85
"1-37.85","Professor de fisioterapia ( ensino superior)","Physiotherapy professors","2310","College, university and higher education teaching professionals",513,85
"1-37.90","Outros professores de ciências biológicas e médicas de ensino superior","Other biology and medical sciences professors","2310","College, university and higher education teaching professionals",514,85
"1-38","Professores de línguas e literaturas de ensino superior","","","",515,
"1-38.20","Professor de português e literaturas da língua portuguesa (ensino superior)","Portuguese language and literature professors","2310","College, university and higher education teaching professionals",516,85
"1-38.30","Professor de inglês e literaturas da língua inglesa (ensino superior)","English language and literature professors","2310","College, university and higher education teaching professionals",517,85
"1-38.40","Professor de francês e literaturas da língua francesa (ensino superior)","French language and literature professors","2310","College, university and higher education teaching professionals",518,85
"1-38.50","Professor de lingüística (ensino superior)","Linguistics professors","2310","College, university and higher education teaching professionals",519,85
"1-38.90","Outros professores de línguas e literaturas de ensino superior","Other language and literature professors","2310","College, university and higher education teaching professionals",520,85
"1-39","Professores de ensino superior não-classificados sob outras epígrafes","","","",521,
"1-39.15","Diretor de estabelecimento de ensino superior","College or university directors","2359","Other teaching professionals not elsewhere classified",522,96
"1-39.20","Professor de topografia (ensino superior)","Topography professors","2310","College, university and higher education teaching professionals",523,85
"1-39.30","Professor de geologia geral (ensino superior)","General geology professors","2310","College, university and higher education teaching professionals",524,85
"1-39.35","Professor de meteorologia ( ensino superior)","Meteorology professors","2310","College, university and higher education teaching professionals",525,85
"1-39.40","Professor de astronomia (ensino superior)","Astronomy professors","2310","College, university and higher education teaching professionals",526,85
"1-39.50","Professor de engenharia rural (ensino superior)","Rural engineering professors","2310","College, university and higher education teaching professionals",527,85
"1-39.60","Professor de pesquisa operacional (ensino superior)","Operations research professors","2310","College, university and higher education teaching professionals",528,85
"1-39.65","Professor de fundamentos específicos da comunicação (ensino superior)","Communication topics professors","2310","College, university and higher education teaching professionals",529,85
"1-39.70","Professor de plástica (ensino superior)","Plastics professors","2310","College, university and higher education teaching professionals",530,85
"1-39.80","Professor de metodologia da educação física e dos desportos (ensino superior)","Physical education methodology and sports professors","2310","College, university and higher education teaching professionals",531,85
"1-39.90","Outros professores de ensino superior não-classificados sob outras epígrafes","Other college and university professors n.e.c.","2359","Other teaching professionals not elsewhere classified",532,96
"1-4","PROFESSORES","","","",533,
"1-41","Professores de ensino de segundo grau","","","",534,
"1-41.15","Professor de língua portuguesa e literatura brasileira (ensino de 2o grau)","Portuguese language and Brazilian literature professors","2320","Secondary education teaching professionals",535,87
"1-41.20","Professor de línguas estrangeiras modernas (ensino de 2o grau)","Modern foreign language professors (secondary education)","2320","Secondary education teaching professionals",536,87
"1-41.25","Professor de geografia (ensino de 2o grau)","Geography professors (secondary education)","2320","Secondary education teaching professionals",537,87
"1-41.30","Professor de história (ensino de 2o grau)","History professors (secondary education)","2320","Secondary education teaching professionals",538,87
"1-41.35","Professor de organização social e política do Brasil (ensino de 2o grau)","Brazilian social and political organization professors (secondary education)","2320","Secondary education teaching professionals",539,87
"1-41.40","Professor de psicologia (ensino de 2o grau)","Psychology professors(secondary education)","2320","Secondary education teaching professionals",540,87
"1-41.45","Professor de matemática (ensino de 2o grau)","Mathematics professors (secondary education)","2320","Secondary education teaching professionals",541,87
"1-41.50","Professor de física (ensino de 2o grau)","Physics professors (secondary education)","2320","Secondary education teaching professionals",542,87
"1-41.55","Professor de química (ensino de 2o grau)","Chemistry professors (secondary education)","2320","Secondary education teaching professionals",543,87
"1-41.60","Professor de biologia (ensino de 2o grau)","Biology professors (secondary education)","2320","Secondary education teaching professionals",544,87
"1-41.65","Professor de disciplinas pedagógicas (ensino de 2o grau)","Pedagogical subjects professors (secondary education)","2320","Secondary education teaching professionals",545,87
"1-41.70","Professor de técnicas industriais (ensino de 2o grau)","Industrial techniques professors (secondary education)","2320","Secondary education teaching professionals",546,87
"1-41.75","Professor de técnicas comerciais e secretariais (ensino de 2o grau)","Commercial and secretary techniques professors (secondary education)","2320","Secondary education teaching professionals",547,87
"1-41.80","Professor de técnicas agrícolas (ensino de 2o grau)","Agricultural techniques professors (secondary education)","2320","Secondary education teaching professionals",548,87
"1-41.85","Professor de técnicas de enfermagem (ensino de 2o grau)","Nursing techniques professors (secondary education)","2320","Secondary education teaching professionals",549,87
"1-41.90","Outros professores de ensino de segundo grau","Other secondary-education professors (secondary education)","2320","Secondary education teaching professionals",550,87
"1-42","Professores de ensino de primeiro grau","","","",551,
"1-42.20","Professor de 1a a 4a série (ensino de 1o grau)","First and fourth grade teachers (primary education)","2331","Primary education teaching professionals",552,89
"1-42.30","Professor de comunicação e expressão em língua portuguesa (ensino de 1o grau)","Communications and Portuguese language teachers (primary education)","2331","Primary education teaching professionals",553,89
"1-42.40","Professor de matemática (ensino de 1o grau)","Mathematics teachers (primary education)","2331","Primary education teaching professionals",554,89
"1-42.50","Professor de ciências naturais (ensino de 1o grau)","Natural science teachers (primary education)","2331","Primary education teaching professionals",555,89
"1-42.60","Professor de estudos sociais (ensino de 1o grau)","Social studies teachers (primary education)","2331","Primary education teaching professionals",556,89
"1-42.90","Outros professores de ensino de primeiro grau","Other primary education teachers (primary education)","3310","Primary education teaching associate professionals",557,177
"1-43","Professores de ensino pré-escolar","","","",558,
"1-43.20","Professor de ensino pré-escolar","Pre-primary teachers","2332","Pre-primary education teaching professionals",559,90
"1-43.90","Outros professores de ensino pré-escolar","Other pre-primary teachers","3320","Pre-primary education teaching associate professionals",560,179
"1-44","Professores e instrutores de formação profissional","","","",561,
"1-44.20","Professor de tecnologia e cálculo técnico (formação profissional)","Technology and technical calculus professors (professional education)","2359","Other teaching professionals not elsewhere classified",562,96
"1-44.30","Professor de desenho técnico (formação profissional)","Technical drawing professors (professional education)","2359","Other teaching professionals not elsewhere classified",563,96
"1-44.40","Instrutor de aprendizagem e treinamento industrial (formação profissional)","Learning and training industrial instructors (professional education)","2359","Other teaching professionals not elsewhere classified",564,96
"1-44.50","Instrutor de aprendizagem e treinamento comercial (formação profissional)","Learning and training commercial instructors (professional education)","2359","Other teaching professionals not elsewhere classified",565,96
"1-44.60","Instrutor de aprendizagem e treinamento agropecuário (formação profissional)","Learning and training agricultural instructors (professional education)","2359","Other teaching professionals not elsewhere classified",566,96
"1-44.90","Outros professores e instrutores de formação profissional","Other professors and instructors of professional education","2359","Other teaching professionals not elsewhere classified",567,96
"1-45","Professores de ensino especial","","","",568,
"1-45.20","Professor de alunos com deficiências mentais","Teachers for mentally impaired students","2340","Special education teaching professionals",569,92
"1-45.30","Professor de cegos","Teachers for the blind","2340","Special education teaching professionals",570,92
"1-45.40","Professor de surdos-mudos","Teachers for the deaf and dumb","2340","Special education teaching professionals",571,92
"1-45.90","Outros professores de ensino especial","Other special education teachers","3330","Special education teaching associate professionals",572,181
"1-49","Professores não-classificados sob outras epígrafes","","","",573,
"1-49.20","Diretor de estabelecimento de ensino (exceto ensino superior)","Elementary and secondary principals","2359","Other teaching professionals not elsewhere classified",574,96
"1-49.30","Supervisor educacional","Educational supervisors","2352","School inspectors",575,95
"1-49.40","Orientador educacional","Educational orientators","2351","Education methods specialists",576,94
"1-49.45","Pedagogo","Pedagogues","2351","Education methods specialists",577,94
"1-49.50","Coordenador de ensino","Teaching coordinators","2359","Other teaching professionals not elsewhere classified",578,96
"1-49.60","Professor de técnicas audiovisuais","Audio-visuals techniques professors","2359","Other teaching professionals not elsewhere classified",579,96
"1-49.90","Outros professores não-classificados sob outras epígrafes","Other teachers not else where classified","3340","Other teaching associate professionals",580,183
"1-5","ESCRITORES, JORNALISTAS, REDATORES, LOCUTORES E TRABALHADORES ASSEMELHADOS","","","",581,
"1-51","Escritores e críticos","","","",582,
"1-51.20","Escritor","Writers","2451","Authors, journalists and other writers",583,117
"1-51.30","Crítico","Critics","2451","Authors, journalists and other writers",584,117
"1-51.90","Outros escritores e críticos","Other writers and critics","2451","Authors, journalists and other writers",585,117
"1-52","Jornalistas e redatores","","","",586,
"1-52.10","Jornalista, em geral","Journalists, general","2451","Authors, journalists and other writers",587,117
"1-52.20","Redator-chefe (jornal ou revista)","Chief journalists","2451","Authors, journalists and other writers",588,117
"1-52.30","Secretário de redação","Journalistic secretaries","2451","Authors, journalists and other writers",589,117
"1-52.40","Repórter","Reporters","2451","Authors, journalists and other writers",590,117
"1-52.45","Copidesque","Copy editors","2451","Authors, journalists and other writers",591,117
"1-52.50","Redator de roteiros de cinema, rádio e televisão","Cinema, radio and television script journalists","2451","Authors, journalists and other writers",592,117
"1-52.60","Redator-chefe de roteiros de cinema, rádio e televisão","Cinema, radio and television script chief-journalists","2451","Authors, journalists and other writers",593,117
"1-52.70","Redator de publicidade","Public relations journalists","2451","Authors, journalists and other writers",594,117
"1-52.75","Redator de informação pública","Public information journalists","2451","Authors, journalists and other writers",595,117
"1-52.80","Redator técnico","Technical journalists","2451","Authors, journalists and other writers",596,117
"1-52.90","Outros jornalistas e redatores","Other journalists and writers","2451","Authors, journalists and other writers",597,117
"1-53","Locutores e comentaristas de rádio e televisão","","","",598,
"1-53.10","Locutor, em geral","Announcers, general","3472","Radio, television and other announcers",599,217
"1-53.20","Locutor de telejornal","Television news announcers","3472","Radio, television and other announcers",600,217
"1-53.30","Comentarista de rádio e televisão","Radio and television commentators","3472","Radio, television and other announcers",601,217
"1-53.40","Locutor esportivo","Sports commentators","3472","Radio, television and other announcers",602,217
"1-53.90","Outros locutores e comentaristas de rádio e televisão","Other radio and television announcers and commentators","3472","Radio, television and other announcers",603,217
"1-59","Escritores, jornalistas, redatores, locutores e trabalhadores assemelhados não-c","","","",604,
"1-59.45","Editor de livros","Book publishers","2451","Authors, journalists and other writers",605,117
"1-59.47","Agente publicitário","Publicity agents","2451","Authors, journalists and other writers",606,117
"1-59.55","Relações públicas","Public relations","2451","Authors, journalists and other writers",607,117
"1-59.70","Técnico de comunicação","Communications technicians","2451","Authors, journalists and other writers",608,117
"1-59.90","Outros escritores, jornalistas, redatores, locutores e trabalhadores assemelhado","Other writers, journalists, publishers, announcers and related workers n.e.c.","2451","Authors, journalists and other writers",609,117
"1-6","ESCULTORES, PINTORES, FOTÓGRAFOS E TRABALHADORES ASSEMELHADOS","","","",610,
"1-61","Escultores, pintores e trabalhadores assemelhados","","","",611,
"1-61.20","Escultor","Sculptors","2452","Sculptors, painters and related artists",612,118
"1-61.30","Pintor artístico","Artistic painters","2452","Sculptors, painters and related artists",613,118
"1-61.40","Caricaturista","Caricaturists","2452","Sculptors, painters and related artists",614,118
"1-61.50","Gravador artístico","Recording artists","2452","Sculptors, painters and related artists",615,118
"1-61.60","Restaurador de pinturas","Restorative painters","2452","Sculptors, painters and related artists",616,118
"1-61.90","Outros escultores, pintores e trabalhadores assemelhados","Other sculptors, painters and related workers n.e.c.","2452","Sculptors, painters and related artists",617,118
"1-63","Fotógrafos, operadores de câmaras de cinema e televisão e trabalhadores assemelh","","","",618,
"1-63.10","Fotógrafo, em geral","Photographers, general","3131","Photographers and image and sound recording equipment operators",619,141
"1-63.20","Fotógrafo retratista","Portrait photographers","3131","Photographers and image and sound recording equipment operators",620,141
"1-63.30","Fotógrafo publicitário","Publicity photographers","3131","Photographers and image and sound recording equipment operators",621,141
"1-63.40","Repórter fotográfico","Photographic reporters","3131","Photographers and image and sound recording equipment operators",622,141
"1-63.50","Diretor de fotografia (cinema)","Photographic directors","3131","Photographers and image and sound recording equipment operators",623,141
"1-63.60","Cinegrafista","Cinematographers","3131","Photographers and image and sound recording equipment operators",624,141
"1-63.70","Operador de câmara de televisão","Television camera operators","3132","Broadcasting and telecommunications equipment operators",625,142
"1-63.90","Outros fotógrafos, operadores de câmaras de cinema e televisão e trabalhadores a","Other photographers, cinema and television camera operators and related workers","3131","Photographers and image and sound recording equipment operators",626,141
"1-7","MÚSICOS, ARTISTAS, EMPRESÁRIOS E PRODUTORES DE ESPETÁCULOS","","","",627,
"1-71","Compositores, músicos e cantores","","","",628,
"1-71.20","Compositor musical","Music composers","2453","Composers, musicians and singers",629,119
"1-71.30","Orquestrador","Orchestra musicians","2453","Composers, musicians and singers",630,119
"1-71.35","Regente de orquestra ou banda de música","Orchestra and band leaders","2453","Composers, musicians and singers",631,119
"1-71.40","Músico","Musicians","2453","Composers, musicians and singers",632,119
"1-71.45","Cantor","Singers","2453","Composers, musicians and singers",633,119
"1-71.50","Regente de grupo coral","Choir leaders","2453","Composers, musicians and singers",634,119
"1-71.90","Outros compositores, músicos e cantores","Other composers, singers and musicians","2453","Composers, musicians and singers",635,119
"1-72","Coreógrafos e bailarinos","","","",636,
"1-72.20","Coreógrafo","Choreographers","2454","Choreographers and dancers",637,120
"1-72.25","Cenógrafo","Scene makers","2455","Film, stage and related actors and directors",638,121
"1-72.30","Bailarino","Ballet dancers","2454","Choreographers and dancers",639,120
"1-72.90","Outros coreógrafos e bailarinos","Other choreographers and dancers","2454","Choreographers and dancers",640,120
"1-73","Atores e diretores de espetáculos","","","",641,
"1-73.20","Ator","Actors","2455","Film, stage and related actors and directors",642,121
"1-73.30","Diretor teatral","Theater directors","2455","Film, stage and related actors and directors",643,121
"1-73.45","Diretor de cinema","Movie directors","2455","Film, stage and related actors and directors",644,121
"1-73.55","Diretor de representações dramáticas em rádio e televisão","Radio and television dramatic representations directors","2455","Film, stage and related actors and directors",645,121
"1-73.90","Outros atores e diretores de espetáculos","Other show actors and directors","2455","Film, stage and related actors and directors",646,121
"1-74","Empresários e produtores de espetáculos","","","",647,
"1-74.20","Produtor teatral","Theater producers","1319","General managers not elsewhere classified",648,45
"1-74.30","Produtor cinematográfico","Cinema producers","1319","General managers not elsewhere classified",649,45
"1-74.40","Produtor de rádio e televisão","Radio and television producers","1319","General managers not elsewhere classified",650,45
"1-74.50","Empresário de espetáculos","Entertainment industry business managers","1319","General managers not elsewhere classified",651,45
"1-74.90","Outros empresários e produtores de espetáculos","Other entertainment industry managers and and producers","1319","General managers not elsewhere classified",652,45
"1-75","Artistas de circo","","","",653,
"1-75.20","Palhaço","Clowns","3474","Clowns, magicians, acrobats and related associate professionals",654,219
"1-75.30","Prestidigitador","Circus masters","3474","Clowns, magicians, acrobats and related associate professionals",655,219
"1-75.40","Acrobata","Acrobats","3474","Clowns, magicians, acrobats and related associate professionals",656,219
"1-75.50","Trapezista","Trapezes","3474","Clowns, magicians, acrobats and related associate professionals",657,219
"1-75.90","Outros artistas de circo","Other circus artists","3474","Clowns, magicians, acrobats and related associate professionals",658,219
"1-79","Músicos, artistas, empresários e produtores de espetáculos não-classificados sob","","","",659,
"1-79.30","Apresentador de espetáculos","Show presenters","3472","Radio, television and other announcers",660,217
"1-79.90","Outros músicos, artistas, empresários e produtores de espetáculos não-classifica","Other musicians, artists, actors and performers n.e.c.","3473","Street, night-club and related musicians, singers and dancers",661,218
"1-8","TÉCNICOS DESPORTIVOS, ATLETAS PROFISSIONAIS E TRABALHADORES ASSEMELHADOS","","","",662,
"1-81","Técnicos desportivos e trabalhadores assemelhados","","","",663,
"1-81.20","Professor de educação física (ginástica e desportos)","Physical education professors (gym and sports)","3475","Athletes, sportspersons and related associate professionals",664,220
"1-81.25","Preparador físico","Physical conditioning coaches","3475","Athletes, sportspersons and related associate professionals",665,220
"1-81.30","Técnico de futebol","Soccer coaches","3475","Athletes, sportspersons and related associate professionals",666,220
"1-81.35","Técnico de basquetebol","Basketball coaches","3475","Athletes, sportspersons and related associate professionals",667,220
"1-81.40","Técnico de natação","Swimming coaches","3475","Athletes, sportspersons and related associate professionals",668,220
"1-81.45","Técnico de atletismo","Athletics coaches","3475","Athletes, sportspersons and related associate professionals",669,220
"1-81.50","Técnico de tênis","Tennis coaches","3475","Athletes, sportspersons and related associate professionals",670,220
"1-81.55","Técnico de voleibol","Volleyball coaches","3475","Athletes, sportspersons and related associate professionals",671,220
"1-81.60","Técnico de boxe","Boxing coaches","3475","Athletes, sportspersons and related associate professionals",672,220
"1-81.90","Outros técnicos desportivos e trabalhadores assemelhados","Other sports coaches and related workers","3475","Athletes, sportspersons and related associate professionals",673,220
"1-82","Atletas profissionais","","","",674,
"1-82.20","Atleta profissional de futebol","Soccer athletes","3475","Athletes, sportspersons and related associate professionals",675,220
"1-82.30","Piloto de corrida (automóveis)","Racing drivers (automobiles)","3475","Athletes, sportspersons and related associate professionals",676,220
"1-82.40","Jóquei","Jockeys","3475","Athletes, sportspersons and related associate professionals",677,220
"1-82.50","Pugilista de boxe","Boxers","3475","Athletes, sportspersons and related associate professionals",678,220
"1-82.90","Outros atletas profissionais","Other professional athletes","3475","Athletes, sportspersons and related associate professionals",679,220
"1-89","Técnicos desportivos, atletas profissionais e trabalhadores assemelhados não-cla","","","",680,
"1-89.20","Árbitro desportivo","Sports referees","3475","Athletes, sportspersons and related associate professionals",681,220
"1-89.90","Outros técnicos desportivos, atletas profissionais e trabalhadores assemelhados ","Other sports referees, professionals athletes and related workers n.e.c.","3475","Athletes, sportspersons and related associate professionals",682,220
"1-9","TRABALHADORES DAS PROFISSÕES CIENTÍFICAS, TÉCNICAS, ARTÍSTICAS E TRABALHADORES A","","","",683,
"1-91","Bibliotecários, arquivologistas e museólogos","","","",684,
"1-91.20","Bibliotecário","Librarians","2432","Librarians and related information professionals",685,108
"1-91.25","Documentalista","Archivists","2431","Archivists and curators",686,107
"1-91.30","Arquivologista","Archivists","2431","Archivists and curators",687,107
"1-91.40","Museólogo","Curators","2431","Archivists and curators",688,107
"1-91.45","Administrador de banco de dados (cpd)","Data administrators","2432","Librarians and related information professionals",689,108
"1-91.90","Outros bibliotecários, arquivologistas e museólogos","Other librarians, archivists and museum curators","2432","Librarians and related information professionals",690,108
"1-92","Sociólogos, antropólogos e trabalhadores assemelhados","","","",691,
"1-92.20","Sociólogo","Sociologists","2442","Sociologists, anthropologists and related professionals",692,111
"1-92.25","Economista doméstico","Domestic economists","2441","Economists",693,110
"1-92.40","Antropólogo","Anthropologists","2442","Sociologists, anthropologists and related professionals",694,111
"1-92.45","Arqueólogo","Archaeologists","2442","Sociologists, anthropologists and related professionals",695,111
"1-92.50","Geógrafo","Geographers","2442","Sociologists, anthropologists and related professionals",696,111
"1-92.60","Historiador","Historians","2443","Philosophers, historians and political scientists",697,112
"1-92.70","Cientista político","Political scientists","2443","Philosophers, historians and political scientists",698,112
"1-92.90","Outros sociólogos, antropólogos e trabalhadores assemelhados","Other sociologists anthropologists and related workers","2442","Sociologists, anthropologists and related professionals",699,111
"1-95","Filólogos, tradutores e intérpretes","","","",700,
"1-95.20","Filólogo","Philologists","2444","Philologists, translators and interpreters",701,113
"1-95.30","Tradutor","Translators","2444","Philologists, translators and interpreters",702,113
"1-95.40","Intérprete","Interpreters","2444","Philologists, translators and interpreters",703,113
"1-95.90","Outros filólogos, tradutores e intérpretes","Other philologists, translators and interpreters","2444","Philologists, translators and interpreters",704,113
"1-96","Membros de cultos religiosos e trabalhadores assemelhados","","","",705,
"1-96.20","Ministro de culto religioso","Religious cult members","2460","Religious professionals",706,123
"1-96.30","Missionário","Missionaries","2460","Religious professionals",707,123
"1-96.40","Teólogo","Theologists","2460","Religious professionals",708,123
"1-96.90","Outros membros de cultos religiosos e trabalhadores assemelhados","Other religious cult members and related professionals","2460","Religious professionals",709,123
"1-97","Analistas de ocupações e trabalhadores assemelhados","","","",710,
"1-97.20","Analista de ocupações","Occupational analysts","2412","Personnel and careers professionals",711,100
"1-97.30","Analista de cargos e salários","Remuneration and responsibility analysts","2412","Personnel and careers professionals",712,100
"1-97.35","Analista de recursos humanos","Human resources analysts","2412","Personnel and careers professionals",713,100
"1-97.90","Outros analistas de ocupações e trabalhadores assemelhados","Other occupational analyst and related workers","2412","Personnel and careers professionals",714,100
"1-98","Técnicos, analistas de seguro, de importação e exportação e trabalhadores asseme","","","",715,
"1-98.35","Analista de importação e exportação","Import and export analysts","3439","Administrative associate professionals not elsewhere classified",716,204
"1-98.47","Assistente técnico de seguro","Technical insurance assistants","3439","Administrative associate professionals not elsewhere classified",717,204
"1-98.50","Técnico de seguro","Insurance technicians","3439","Administrative associate professionals not elsewhere classified",718,204
"1-98.55","Analista de seguro","Insurance analysts","3439","Administrative associate professionals not elsewhere classified",719,204
"1-98.90","Outros técnicos, analistas de seguro, de importação e exportação e trabalhadores","Other technicians, insurance, import and export analysts and related workers","3439","Administrative associate professionals not elsewhere classified",720,204
"1-99","Trabalhadores das profissões científicas, técnicas, artísticas e trabalhadores a","","","",721,
"1-99.20","Agente de marcas e patentes","Brands and patents agents","3429","Business services agents and trade brokers not elsewhere classified",722,198
"1-99.45","Analista de pesquisa de mercado","Market research analysts","3429","Business services agents and trade brokers not elsewhere classified",723,198
"1-99.55","Analista de comercialização","Commercial analysts","3429","Business services agents and trade brokers not elsewhere classified",724,198
